0	13	3
0	14392	1
0	145	1
0	963	1
0	310	1
0	574	1
0	24721	1
0	10662	1
1	408	1
1	13132	1
1	15738	4
1	892	1
1	10	2
1	11	1
1	225	2
1	21573	1
1	2175	1
1	29352	3
1	145	1
1	24007	1
1	1934	1
1	17446	1
1	10536	2
1	12893	1
1	1452	1
1	2495	1
1	160	1
1	30605	1
1	36896	1
1	14878	1
1	15305	2
1	1504	1
1	365	1
1	144	1
1	24508	1
1	1019	1
1	33042	1
2	4235	6
2	449	1
2	1210	1
3	203	1
3	2989	1
3	106	2
3	348	1
3	345	1
4	225	2
4	3744	1
4	33056	1
4	14	2
5	14635	1
5	7580	1
5	1507	2
5	8381	1
5	6525	1
5	1648	1
5	145	2
5	655	2
5	177	1
5	26	2
5	34851	1
5	31888	1
5	8027	1
5	12893	1
5	1591	1
6	5185	1
6	35652	1
7	189	3
8	197	1
8	1681	1
8	192	1
8	1876	1
8	191	1
8	13823	1
8	38439	1
8	13822	1
8	9821	2
8	1182	1
8	24369	1
8	25750	1
8	1181	2
8	29139	1
8	21161	1
8	1019	1
8	4292	2
8	1156	2
8	166	2
8	6789	1
9	225	1
9	2998	1
9	849	1
9	6769	1
10	9	1
10	36896	1
10	11668	1
10	611	1
10	548	2
10	1416	1
10	271	1
10	10945	1
10	162	1
10	2402	1
10	11793	2
10	5702	1
10	24007	1
10	11	1
10	1402	2
10	9392	1
10	2751	1
10	9278	1
10	10848	1
10	22380	2
10	1368	2
10	29629	1
10	4392	1
11	12923	1
11	271	1
11	14	1
11	4521	1
11	225	1
11	11712	1
11	724	1
11	15738	1
12	1564	1
12	4770	1
12	1553	1
12	13456	2
12	144	1
12	4046	1
12	1437	3
12	2386	1
13	985	1
13	1598	1
13	22278	1
13	2953	1
13	13	3
14	1641	1
14	10	2
14	33056	1
14	11793	1
14	14725	1
14	11	1
14	225	1
14	4	2
14	29629	1
15	174	1
16	285	1
16	114	1
17	2404	1
17	36345	1
17	906	1
17	25495	1
17	114	1
17	313	1
17	36896	1
17	808	2
19	24173	2
19	15727	1
19	30605	1
19	8596	1
19	144	1
19	1045	3
19	160	1
19	761	1
20	25392	1
20	19	1
20	1045	2
20	4777	1
20	35563	1
21	155	1
21	2776	1
21	14337	1
22	61	1
22	4207	1
22	999	5
22	228	3
22	594	1
22	26944	1
22	4272	1
22	6760	1
22	11945	1
22	282	1
22	5588	1
23	4386	1
23	19767	1
23	20880	1
23	22661	1
23	27521	1
23	15298	1
23	145	1
23	6966	1
23	17705	1
23	16147	1
23	283	1
24	1441	1
24	272	3
24	1184	1
24	193	1
24	145	3
26	5385	1
26	1247	1
26	8905	1
26	144	1
26	24007	1
26	166	1
27	27	2
27	963	2
28	7639	1
28	144	1
29	36896	1
29	1261	1
29	184	1
29	144	1
29	145	5
29	1413	1
30	221	1
30	212	1
31	11090	1
31	35844	1
31	15697	1
31	1346	2
31	8954	1
31	1749	1
31	5324	1
31	14337	1
31	279	1
31	1063	1
31	309	2
31	770	3
31	35845	1
31	14647	1
31	983	3
31	1709	1
31	3364	1
31	12250	1
32	33681	1
32	34211	1
32	8464	1
32	8463	2
32	3160	1
32	16488	1
32	8544	1
32	34840	1
33	917	1
33	5846	1
33	6266	1
33	1427	1
34	36896	1
34	776	1
34	5655	1
34	1724	1
34	6098	1
34	5252	1
35	23944	1
35	702	1
35	7	1
35	10063	4
36	189	2
36	1703	1
36	147	1
37	1670	1
37	147	1
37	1139	1
37	1426	1
37	25718	1
37	17137	1
37	6966	1
37	823	1
37	35037	1
37	29156	1
38	2146	1
38	39	1
38	3040	1
38	13456	1
39	3040	1
40	41	2
41	39	3
41	41	1
41	3040	1
42	214	1
42	4941	1
42	33115	2
43	8666	1
43	2946	1
43	21209	1
43	38688	1
43	5207	1
43	2393	1
43	32684	1
43	36488	1
43	24239	1
43	25986	1
43	6392	1
43	400	1
43	15684	1
43	6028	1
43	1053	1
43	3369	1
43	24007	1
43	35908	1
43	24079	2
43	69	2
43	5931	1
43	310	1
43	19914	1
43	8456	2
43	160	1
43	220	3
43	1893	7
43	398	1
43	23879	1
43	14337	1
44	153	2
44	1698	1
44	719	1
44	33042	1
44	10161	1
44	8880	2
44	1865	1
44	32550	1
44	5955	1
44	21375	3
44	892	2
44	6314	2
44	22763	1
44	10403	1
44	6669	4
45	2106	1
45	174	1
45	963	1
46	8581	1
47	3458	1
47	6593	2
47	90	3
47	10823	1
47	719	1
47	15863	1
47	2396	1
47	1634	1
47	174	2
47	2920	2
47	1511	1
